stock_name,group,trading_symbol,instrument_key,ath,cp,prev_change_pct,today_change_pct,ema5,ema10,ema20,last_updated
Bikaji Foods International Ltd.,Fast Moving Consumer Goods,BIKAJI,NSE_EQ|INE00E101023,0.0,0,0,0,0,0,0,0
Biocon Ltd.,Healthcare,BIOCON,NSE_EQ|INE376G01013,0.0,0,0,0,0,0,0,0
Birlasoft Ltd.,Information Technology,BSOFT,NSE_EQ|INE836A01035,0.0,0,0,0,0,0,0,0
Blue Dart Express Ltd.,Services,BLUEDART,NSE_EQ|INE233B01017,0.0,0,0,0,0,0,0,0
Blue Jet Healthcare Ltd.,Healthcare,BLUEJET,NSE_EQ|INE0KBH01020,0.0,0,0,0,0,0,0,0
Blue Star Ltd.,Consumer Durables,BLUESTARCO,NSE_EQ|INE472A01039,0.0,0,0,0,0,0,0,0
Bombay Burmah Trading Corporation Ltd.,Fast Moving Consumer Goods,BBTC,NSE_EQ|INE050A01025,0.0,0,0,0,0,0,0,0
Bosch Ltd.,Automobile and Auto Components,BOSCHLTD,NSE_EQ|INE323A01026,0.0,0,0,0,0,0,0,0
Brainbees Solutions Ltd.,Consumer Services,FIRSTCRY,NSE_EQ|INE02RE01045,0.0,0,0,0,0,0,0,0
Brigade Enterprises Ltd.,Realty,BRIGADE,NSE_EQ|INE791I01019,0.0,0,0,0,0,0,0,0
Britannia Industries Ltd.,Fast Moving Consumer Goods,BRITANNIA,NSE_EQ|INE216A01030,0.0,0,0,0,0,0,0,0
C.E. Info Systems Ltd.,Information Technology,MAPMYINDIA,NSE_EQ|INE0BV301023,0.0,0,0,0,0,0,0,0
CCL Products (I) Ltd.,Fast Moving Consumer Goods,CCL,NSE_EQ|INE421D01022,0.0,0,0,0,0,0,0,0
CESC Ltd.,Power,CESC,NSE_EQ|INE486A01021,0.0,0,0,0,0,0,0,0
CG Power and Industrial Solutions Ltd.,Capital Goods,CGPOWER,NSE_EQ|INE067A01029,0.0,0,0,0,0,0,0,0
CRISIL Ltd.,Financial Services,CRISIL,NSE_EQ|INE007A01025,0.0,0,0,0,0,0,0,0
Campus Activewear Ltd.,Consumer Durables,CAMPUS,NSE_EQ|INE278Y01022,0.0,0,0,0,0,0,0,0
Can Fin Homes Ltd.,Financial Services,CANFINHOME,NSE_EQ|INE477A01020,0.0,0,0,0,0,0,0,0
